adamwzw,20645098,4
baka_mono,20645098,3
iRayc,20645098,2
blueandgreen,20645098,3
130992805,20645098,4
134629166,20645098,5
wangymm,20645098,3
61336044,20645098,5
sirius_sky,20645098,1
46835510,20645098,5
125554749,20645098,5
136801905,20645098,5
z30473,20645098,5
76258520,20645098,5
120784919,20645098,3
longgouhugo,20645098,3
screem2046,20645098,4
76681041,20645098,3
3962795,20645098,5
chengyaojiang,20645098,5
chengyaojiang,20645098,5
yatiour,20645098,5
toool,20645098,2
48705415,20645098,4
gezix1n,20645098,5
52668487,20645098,4
122370677,20645098,-1
62637324,20645098,5
zhaosq,20645098,4
92451240,20645098,5
50574309,20645098,5
rx7801,20645098,-1
4336649,20645098,5
75173567,20645098,4
135101430,20645098,5
pubolin,20645098,4
128563781,20645098,5
goofy-G,20645098,4
TonyLeungNCFan,20645098,4
yeung123,20645098,5
55790566,20645098,4
yiannisyan,20645098,5
50625431,20645098,5
33523138,20645098,5
36664394,20645098,4
99075556,20645098,5
57997316,20645098,4
3584036,20645098,4
58945423,20645098,5
14247291,20645098,3
46444197,20645098,4
16235886,20645098,-1
qzl,20645098,5
47857020,20645098,5
45612704,20645098,5
60311898,20645098,3
103180003,20645098,4
4234130,20645098,5
sslclz,20645098,4
labite,20645098,1
2593614,20645098,5
128095249,20645098,5
7960364,20645098,3
126412740,20645098,1
72866809,20645098,4
39360207,20645098,4
40081078,20645098,5
63012598,20645098,-1
lixiaoshall,20645098,3
59856519,20645098,4
mpor2,20645098,5
135716425,20645098,4
zhanling,20645098,4
60368000,20645098,5
56046368,20645098,5
45223979,20645098,5
46534834,20645098,3
cicizhaowei,20645098,4
45631897,20645098,5
diva423,20645098,4
2498446,20645098,3
51640688,20645098,3
65542582,20645098,4
91163114,20645098,4
115833556,20645098,5
soffie,20645098,3
momo6612,20645098,5
53815348,20645098,4
97816774,20645098,3
73766908,20645098,5
55849765,20645098,3
74600340,20645098,5
41375652,20645098,5
53401173,20645098,5
42471993,20645098,4
135442645,20645098,5
57968608,20645098,5
84468658,20645098,5
Murphymolly,20645098,4
13424583,20645098,3
50597699,20645098,4
guolibin,20645098,4
65117604,20645098,4
42903485,20645098,3
75668833,20645098,5
veroniques,20645098,5
24071740,20645098,4
sqiqis,20645098,4
53041218,20645098,5
94032593,20645098,3
51909421,20645098,3
97133349,20645098,5
yqp1987,20645098,3
135996237,20645098,5
54664894,20645098,3
122593554,20645098,5
65987456,20645098,5
81774069,20645098,5
thisisgap,20645098,4
82820975,20645098,4
rhe,20645098,5
michaelhuan,20645098,5
Vampire0704,20645098,4
47802475,20645098,5
131496500,20645098,4
67330888,20645098,4
59326783,20645098,4
1989077,20645098,4
76635599,20645098,2
lovehebey,20645098,4
65053075,20645098,3
44587302,20645098,4
66991726,20645098,5
50527694,20645098,5
34080365,20645098,5
50227330,20645098,5
70694742,20645098,-1
126780823,20645098,2
shamoshuiping,20645098,5
stilllovebobdyl,20645098,4
39266502,20645098,5
3006618,20645098,-1
37420534,20645098,4
48165098,20645098,4
74520364,20645098,5
122327681,20645098,4
cognac,20645098,4
62216368,20645098,2
95443822,20645098,4
79489792,20645098,5
minusculeF,20645098,1
128643809,20645098,4
90025780,20645098,5
97155046,20645098,5
52973703,20645098,4
sirius_zhang,20645098,4
128012079,20645098,5
130567322,20645098,4
87902611,20645098,-1
50620373,20645098,5
SecretInMyBox,20645098,5
71985811,20645098,4
53935985,20645098,4
125147753,20645098,4
61439975,20645098,5
staceysung,20645098,3
linyumi7,20645098,5
129488626,20645098,5
momoroe,20645098,5
seaunt,20645098,5
49366879,20645098,2
stranger.,20645098,4
55942870,20645098,4
dangxiaoshi,20645098,5
47688996,20645098,4
41791950,20645098,3
78358396,20645098,3
127408964,20645098,5
aspartameeee,20645098,3
56691333,20645098,5
41517741,20645098,3
40684892,20645098,5
57275978,20645098,5
37210878,20645098,3
69639078,20645098,5
11080929,20645098,4
77620661,20645098,3
cpxxpc,20645098,5
40751641,20645098,3
krisleung,20645098,3
wacky02,20645098,4
34083797,20645098,5
rabbit0709,20645098,4
2092765,20645098,3
97786845,20645098,-1
53965566,20645098,4
137075359,20645098,5
26639772,20645098,5
2877330,20645098,3
yiri,20645098,-1
57968508,20645098,5
66399464,20645098,5
52872697,20645098,5
58005758,20645098,5
chengchen0121,20645098,5
41440460,20645098,4
66057217,20645098,3
31922532,20645098,3
narrowjiu,20645098,4
57791239,20645098,3
50709951,20645098,3
40360938,20645098,4
88268903,20645098,4
yozir,20645098,3
3176021,20645098,5
71014294,20645098,5
70917351,20645098,3
Godknows,20645098,5
92913612,20645098,3
83769093,20645098,3
80820907,20645098,5
62388997,20645098,3
tove,20645098,5
22991326,20645098,3
132272414,20645098,5
nandeyansu,20645098,5
74571823,20645098,4
115946437,20645098,5
48443053,20645098,3
121247515,20645098,5
104731423,20645098,5
99870614,20645098,3
47802404,20645098,3
56400825,20645098,4
68102477,20645098,4
84872284,20645098,4
